,Year,Country Name,International Tourism Expenditures (US$),International Tourism Receipts (US$),# of arrivals,GDP (US$),Total Population
768,2019,"Macao SAR, China",2034000000,41166000000,39406000,55204960999,663653
985,2020,"Macao SAR, China",886000000,9442000000,5897000,25459685019,676283
117,2016,"Macao SAR, China",1500000000,31155000000,30950000,45070807279,626688
118,2016,Madagascar,300000000,912000000,333000,11848613859,25501941
552,2018,Madagascar,309000000,879000000,360000,13760033282,26846541
335,2017,Madagascar,319000000,849000000,285000,13176313593,26169542
769,2019,Madagascar,319000000,951000000,486000,14104664677,27533134
986,2020,Madagascar,97000000,202000000,87099,13051441203,28225177
119,2016,Malawi,100000000,30000000,849000,7909868618,17405624
553,2018,Malawi,174000000,55000000,871000,9880675785,18367883
336,2017,Malawi,120000000,35000000,837000,8943543677,17881167
120,2016,Malaysia,11339000000,19682000000,26757000,301255332137,31526418
554,2018,Malaysia,13207000000,21775000000,25832000,358788833524,32399271
771,2019,Malaysia,13694000000,22200000000,26101000,365177744321,32804020
337,2017,Malaysia,12145000000,20311000000,25948000,319109103242,31975806
988,2020,Malaysia,5206000000,3386000000,4333000,337339463179,33199993
121,2016,Maldives,347000000,2640000000,1286000,4379134272,454252
989,2020,Maldives,106000000,1409000000,555000,3746329358,514438
338,2017,Maldives,369000000,2771000000,1390000,4754185598,472442
772,2019,Maldives,431000000,3171000000,1703000,5609385433,504508
555,2018,Maldives,414000000,3054000000,1484000,5300949822,489758
339,2017,Mali,220000000,206399993,193000,15365713059,19311355
556,2018,Mali,255000000,231000000,203000,17070867577,19934298
122,2016,Mali,213000000,201600006,173000,14026048334,18700106
124,2016,Marshall Islands,27000000,30399999,5400,200716000,48329
341,2017,Marshall Islands,27600000,18100000,6000,212701200,47187
558,2018,Marshall Islands,31399999,20100000,6800,219330300,45989
560,2018,Mauritius,663000000,2161000000,1431000,14735695930,1265577
994,2020,Mauritius,224000000,518000000,316000,11401040995,1266014
777,2019,Mauritius,656000000,2024000000,1418000,14436347115,1265985
343,2017,Mauritius,738000000,2005000000,1371000,13713505998,1264887
126,2016,Mauritius,683000000,1824000000,1307000,12594155346,1263747
995,2020,Mexico,4286000000,11449000000,51128000,1090514966785,125998302
344,2017,Mexico,13647000000,22467000000,99349000,1158912015259,122839258
127,2016,Mexico,12823000000,20619000000,94853000,1078493059306,121519221
561,2018,Mexico,14074000000,23802000000,96497000,1222405556421,124013861
778,2019,Mexico,12300000000,25847000000,97406000,1269009571610,125085311
780,2019,Moldova,479000000,527000000,174000,11735774634,2664224
997,2020,Moldova,303000000,354000000,29000,11531967881,2635130
563,2018,Moldova,438000000,500000000,160000,11253727815,2707203
129,2016,Moldova,334000000,344000000,121000,7982450758,2803186
346,2017,Moldova,380000000,442000000,145000,9519053158,2755189
565,2018,Mongolia,822000000,526000000,598000,13178094719,3163991
131,2016,Mongolia,536000000,379000000,471000,11181350649,3029555
782,2019,Mongolia,1036000000,605000000,637000,14206359016,3232430
999,2020,Mongolia,573000000,49000000,66900,13312981427,3294335
348,2017,Mongolia,618000000,462000000,543000,11480847740,3096030
132,2016,Montenegro,91000000,978000000,1662000,4376929571,622303
349,2017,Montenegro,91000000,1110000000,1877000,4856602178,622373
1000,2020,Montenegro,38000000,180000000,351000,4769995511,621306
566,2018,Montenegro,73000000,1224000000,2077000,5506944403,622227
783,2019,Montenegro,72000000,1276000000,2510000,5542053845,622028
350,2017,Morocco,2829000000,9086000000,11540000,118540574727,35528115
1001,2020,Morocco,1509000000,4514000000,2802000,121347533649,36688772
567,2018,Morocco,2987000000,9520000000,12489000,127341141871,35927511
133,2016,Morocco,2312000000,7922000000,10677000,111572946646,35107264
784,2019,Morocco,3102000000,9949000000,13109000,128920265075,36304408
351,2017,Mozambique,237000000,164000000,1514000,13219079497,28569441
568,2018,Mozambique,135000000,331000000,2870000,14845400592,29423878
785,2019,Mozambique,99000000,324000000,2033000,15390031039,30285595
134,2016,Mozambique,290000000,114000000,1715000,11936993086,27696493
786,2019,Myanmar,214000000,2501000000,4364000,68697761477,53040212
352,2017,Myanmar,136000000,1988000000,3443000,61449391917,52288341
135,2016,Myanmar,201000000,2289000000,2907000,60291738934,51892349
569,2018,Myanmar,118000000,1670000000,3551000,67144726167,52666014
136,2016,Namibia,82000000,295000000,1551000,10722018975,2323352
787,2019,Namibia,118000000,451000000,1651000,12541928102,2446644
1004,2020,Namibia,77000000,155000000,187100,10583748757,2489098
